long,lat,distance,elevation_m
121.410000,25.070900,7.011933,115.732864
121.409900,25.071000,7.025267,112.520070
121.409800,25.071100,7.038600,110.390255
121.409633,25.071233,7.051933,111.514572
121.409467,25.071367,7.065267,113.854095
121.409300,25.071500,7.078600,115.251345
121.409200,25.071600,7.091933,115.252367
121.409100,25.071700,7.105267,115.957258
121.409000,25.071800,7.118600,117.485184
121.409000,25.071800,7.131967,117.485184
121.409000,25.071800,7.145333,117.485184
121.409000,25.071800,7.158700,117.485184
121.408900,25.071867,7.172033,120.760757
121.408800,25.071933,7.185367,123.242464
121.408700,25.072000,7.198700,124.956893
121.408533,25.072067,7.212033,126.795458
121.408367,25.072133,7.225367,126.189414
121.408200,25.072200,7.238700,125.604071
